Date,Close,Open,High,Low,Stupid,Change %,Format,Volume
1/17/2017,42062.20,43885.00,44187.60,41728.00,4.93K,-4.15%,4.93,4930
1/18/2017,43885.00,44559.90,44584.00,43382.00,3.27K,-1.51%,3.27,3270
1/19/2017,44559.90,42559.90,44762.00,42467.00,4.11K,4.70%,4.11,4110
1/20/2017,42559.90,42091.00,42852.00,41608.00,4.78K,1.11%,4.78,4780
1/21/2017,42091.00,42239.10,42760.00,41920.00,1.95K,-0.35%,1.95,1950
1/22/2017,42239.10,42418.00,43028.00,41810.00,2.66K,-0.42%,2.66,2660
1/23/2017,42418.00,43545.00,43965.00,42053.00,5.61K,-2.59%,5.61,5610
1/24/2017,43545.00,44432.00,45851.00,43255.00,7.33K,-2.00%,7.33,7330
1/25/2017,44432.00,44060.50,44839.60,43160.00,3.71K,0.84%,3.71,3710
1/26/2017,44060.50,43865.00,45400.00,42713.00,7.62K,0.45%,7.62,7620
1/27/2017,43865.00,42416.00,44500.00,41715.00,5.52K,3.40%,5.52,5520
1/28/2017,42423.00,41454.00,42730.00,41171.00,2.36K,2.34%,2.36,2360
1/29/2017,41454.00,41562.70,41928.00,40979.80,2.60K,-0.26%,2.60,2600
1/30/2017,41562.70,37331.00,41734.00,37070.00,8.27K,11.34%,8.27,8270
1/31/2017,37331.00,36925.00,37395.00,36282.00,5.03K,1.10%,5.03,5030
2/1/2017,36925.00,38733.00,38877.00,36660.00,4.19K,-4.67%,4.19,4190
2/2/2017,38733.00,38495.00,39350.00,38039.00,4.29K,0.54%,4.29,4290
2/3/2017,38526.00,37914.40,38772.10,36683.00,4.77K,1.55%,4.77,4770
2/4/2017,37939.00,38179.90,38349.00,37398.00,2.05K,-0.68%,2.05,2050
2/5/2017,38197.00,37759.80,38696.00,37347.70,3.55K,1.16%,3.55,3550
2/6/2017,37759.80,37217.00,38041.00,36197.00,4.58K,1.46%,4.58,4580
2/7/2017,37217.00,36830.80,37248.00,35571.00,6.94K,1.05%,6.94,6940
2/8/2017,36830.80,36986.00,38901.00,36301.00,10.65K,-0.44%,10.65,10650
2/9/2017,36994.00,36702.00,37545.00,35759.00,8.86K,0.80%,8.86,8860
2/10/2017,36702.00,36308.00,37460.00,32981.00,23.10K,1.09%,23.10,23100
2/11/2017,36308.00,35103.00,36550.00,34687.30,8.72K,3.43%,8.72,8720
2/12/2017,35103.00,36467.00,36816.00,34079.00,17.58K,-3.83%,17.58,17580
2/13/2017,36501.00,40740.00,41132.00,35524.00,16.22K,-10.41%,16.22,16220
2/14/2017,40740.00,41676.00,43540.60,40572.00,5.11K,-2.25%,5.11,5110
2/15/2017,41676.00,42390.00,42581.20,41180.00,6.45K,-1.68%,6.45,6450
2/16/2017,42390.00,42223.00,42682.00,41304.00,4.34K,0.35%,4.34,4340
2/17/2017,42242.00,43084.00,43191.00,41568.00,2.92K,-1.95%,2.92,2920
2/18/2017,43084.00,43069.00,43487.00,42611.80,1.58K,0.03%,1.58,1580
2/19/2017,43069.00,43091.00,43806.00,42600.00,3.20K,-0.05%,3.20,3200
2/20/2017,43091.00,42562.00,43463.00,41839.00,4.31K,1.24%,4.31,4310
2/21/2017,42562.00,43909.00,44426.70,42334.00,3.74K,-3.07%,3.74,3740
2/22/2017,43909.00,42743.00,44305.00,42475.00,3.77K,2.73%,3.77,3770
2/23/2017,42743.00,41839.00,43113.00,41287.00,4.79K,2.16%,4.79,4790
2/24/2017,41839.00,41850.00,42270.00,39677.00,9.55K,-0.03%,9.55,9550
2/25/2017,41850.00,41679.00,42790.00,41275.00,3.72K,0.41%,3.72,3720
2/26/2017,41679.00,41518.00,42319.00,40570.00,4.15K,0.39%,4.15,4150
2/27/2017,41518.00,43111.00,43132.00,40755.00,7.40K,-3.70%,7.40,7400
2/28/2017,43111.00,43418.00,43777.00,42487.00,3.41K,-0.71%,3.41,3410
3/1/2017,43418.00,45830.00,47056.70,42519.00,6.93K,-5.26%,6.93,6930
3/2/2017,45830.00,46445.00,47546.00,45583.00,3.79K,-1.32%,3.79,3790
3/3/2017,46445.00,47314.00,47578.00,45701.00,2.58K,-1.84%,2.58,2580
3/4/2017,47314.00,47755.00,47980.00,46698.00,1.84K,-0.92%,1.84,1840
3/5/2017,47755.00,46218.00,47954.00,46215.00,2.18K,3.33%,2.18,2180
3/6/2017,46218.00,47156.00,48589.00,45697.00,4.25K,-1.99%,4.25,4250
3/7/2017,47156.00,46465.00,47911.00,45996.00,3.20K,1.49%,3.20,3200
3/8/2017,46465.00,47554.00,48166.00,46129.00,4.12K,-2.29%,4.12,4120
3/9/2017,47554.00,50684.00,50710.00,47339.00,5.43K,-6.18%,5.43,5430
3/10/2017,50684.00,50797.00,52027.00,50483.00,3.52K,-0.22%,3.52,3520
3/11/2017,50797.00,50435.20,51281.00,49473.00,2.90K,0.71%,2.90,2900
3/12/2017,50437.00,50815.00,51169.00,50209.00,1.99K,-0.74%,1.99,1990
3/13/2017,50815.00,50833.00,51834.00,50439.00,2.60K,0.01%,2.60,2600
3/14/2017,50812.00,48626.00,51376.00,48078.00,4.43K,4.50%,4.43,4430
3/15/2017,48626.00,48923.00,49575.10,48459.80,3.14K,-0.61%,3.14,3140
3/16/2017,48923.00,46898.00,49352.00,46683.00,4.71K,4.32%,4.71,4710
3/17/2017,46898.00,46716.50,47541.00,45606.00,5.65K,0.39%,5.65,5650
3/18/2017,46716.50,46879.00,48283.00,46474.90,5.24K,-0.35%,5.24,5240
3/19/2017,46879.00,46193.00,47364.00,45543.50,3.74K,1.49%,3.74,3740
3/20/2017,46193.00,47675.00,48028.80,45539.00,5.86K,-3.11%,5.86,5860
3/21/2017,47675.00,48901.00,49462.10,47561.00,3.53K,-2.51%,3.53,3530
3/22/2017,48901.00,48408.00,49520.00,46602.00,7.04K,1.02%,7.04,7040
3/23/2017,48408.00,46777.00,48656.00,46356.20,5.48K,3.49%,5.48,5480
3/24/2017,46777.00,50123.00,50222.70,45790.00,8.71K,-6.68%,8.71,8710
3/25/2017,50123.00,49363.10,50800.00,48692.00,3.87K,1.54%,3.87,3870
3/26/2017,49363.10,47170.00,49510.00,46897.00,5.29K,4.65%,5.29,5290
3/27/2017,47170.00,47611.00,50105.00,47060.00,8.17K,-0.93%,8.17,8170
