Date,DateFormat,Open,High,Low,Close,Adj Close,Volume
2018-01-01,'2018-01-01',17.959999,20.309999,16.610001,16.809999,14.686982,89774500
2018-02-01,'2018-02-01',16.700001,17.010000,15.100000,15.690000,13.708434,65241500
2018-03-01,'2018-03-01',15.790000,16.230000,12.200000,12.620000,11.026158,103280400
2018-04-01,'2018-04-01',12.510000,14.180000,12.500000,13.650000,12.216768,94335400
2018-05-01,'2018-05-01',13.580000,13.890000,12.260000,13.200000,11.814018,98517700
2018-06-01,'2018-06-01',12.800000,15.980000,12.700000,14.570000,13.040170,154989300
2018-07-01,'2018-07-01',14.590000,15.630000,14.000000,14.410000,13.243320,52105500
2018-08-01,'2018-08-01',14.420000,17.270000,13.180000,13.270000,12.195617,84426000
2018-09-01,'2018-09-01',13.170000,17.040001,13.080000,15.270000,14.033691,75143300
2018-10-01,'2018-10-01',15.280000,15.600000,13.640000,14.600000,13.728651,52300700
2018-11-01,'2018-11-01',14.610000,15.760000,12.140000,13.660000,12.844751,84572300
2018-12-01,'2018-12-01',13.820000,14.110000,11.560000,12.620000,11.866819,50159500
2019-01-01,'2019-01-01',12.450000,16.900000,11.100000,11.340000,10.967875,107231700
2019-02-01,'2019-02-01',11.310000,11.930000,11.000000,11.700000,11.316062,54706400
2019-03-01,'2019-03-01',11.880000,12.100000,10.070000,10.160000,9.826597,67208800
2019-04-01,'2019-04-01',10.290000,10.420000,8.530000,8.650000,8.650000,114515000
2019-05-01,'2019-05-01',8.660000,8.990000,7.320000,7.580000,7.580000,67421700
2019-06-01,'2019-06-01',7.580000,7.850000,4.710000,5.470000,5.470000,170303900
2019-07-01,'2019-07-01',5.530000,5.640000,3.900000,4.020000,4.020000,154982200
2019-08-01,'2019-08-01',4.020000,4.360000,3.150000,3.970000,3.970000,150910000
2019-09-01,'2019-09-01',3.970000,5.640000,3.660000,5.520000,5.520000,209391900
2019-10-01,'2019-10-01',5.640000,6.620000,4.960000,5.440000,5.440000,105171700
2019-11-01,'2019-11-01',5.450000,6.390000,5.350000,6.340000,6.340000,56925700
2019-12-01,'2019-12-01',6.350000,6.920000,5.180000,6.080000,6.080000,121013800
2020-01-01,'2020-01-01',6.140000,6.470000,3.830000,3.840000,3.840000,81070500
2020-02-01,'2020-02-01',3.880000,4.510000,3.180000,3.600000,3.600000,55789400
2020-03-01,'2020-03-01',3.600000,5.090000,3.390000,3.500000,3.500000,100476400
2020-04-01,'2020-04-01',3.450000,6.470000,2.570000,5.730000,5.730000,99735200
2020-05-01,'2020-05-01',5.650000,6.180000,3.960000,4.060000,4.060000,53507600
2020-06-01,'2020-06-01',4.120000,5.530000,4.020000,4.340000,4.340000,100281700
2020-07-01,'2020-07-01',4.310000,4.550000,3.770000,4.010000,4.010000,55494100
2020-08-01,'2020-08-01',4.030000,7.150000,4.000000,6.680000,6.680000,117264400
2020-09-01,'2020-09-01',7.300000,11.170000,5.870000,10.200000,10.200000,254811800
2020-10-01,'2020-10-01',10.090000,15.870000,9.100000,10.470000,10.470000,359856300
2020-11-01,'2020-11-01',10.820000,19.420000,10.500000,16.559999,16.559999,161490800
2020-12-01,'2020-12-01',17.110001,22.350000,12.140000,18.840000,18.840000,251286600
2021-01-01,'2021-01-01',19.000000,483.000000,17.080000,325.000000,325.000000,1261514800
2021-02-01,'2021-02-01',316.559998,322.000000,38.500000,101.739998,101.739998,827488000
2021-03-01,'2021-03-01',104.540001,348.500000,99.970001,189.820007,189.820007,679624900
2021-04-01,'2021-04-01',193.360001,196.970001,132.000000,173.589996,173.589996,172415400
2021-05-01,'2021-05-01',177.490005,268.799988,136.500000,222.000000,222.000000,137450100
2021-06-01,'2021-06-01',233.479996,344.660004,197.000000,214.139999,214.139999,185021900
2021-07-01,'2021-07-01',213.399994,216.830002,158.009995,161.119995,161.119995,54009800
2021-08-01,'2021-08-01',162.000000,227.000000,145.220001,218.240005,218.240005,82038200
2021-09-01,'2021-09-01',224.000000,231.440002,166.789993,175.470001,175.470001,63484500
2021-10-01,'2021-10-01',179.399994,192.179993,165.809998,183.509995,183.509995,35809600
2021-11-01,'2021-11-01',182.529999,255.690002,182.050003,196.210007,196.210007,53294200
2021-12-01,'2021-12-01',199.399994,200.110001,129.500000,148.389999,148.389999,59482000
2022-01-01,'2022-01-01',149.229996,160.309998,86.290001,108.930000,108.930000,84599000
